points	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001
0	{'num': 4526}	{'num': 4771}	{'num': 5138}	{'num': 5276}	{'num': 5928}	{'num': 6244}	{'num': 6612}	{'num': 6021}	{'num': 5706}	{'num': 5914}	{'num': 6302}	{'num': 6547}	{'num': 6336}	{'num': 6701}	{'num': 6687}
100	{'num': 587}	{'num': 581}	{'num': 574}	{'num': 592}	{'num': 672}	{'num': 638}	{'num': 662}	{'num': 653}	{'num': 667}	{'num': 3523}	{'num': 3791}	{'num': 3830}	{'num': 3985}	{'num': 4098}	{'num': 4263}
110	{'num': 560}	{'num': 575}	{'num': 628}	{'num': 629}	{'num': 699}	{'num': 651}	{'num': 697}	{'num': 657}	{'num': 633}						
120	{'num': 585}	{'num': 605}	{'num': 616}	{'num': 713}	{'num': 666}	{'num': 685}	{'num': 735}	{'num': 736}	{'num': 667}						
130	{'num': 582}	{'num': 657}	{'num': 646}	{'num': 689}	{'num': 709}	{'num': 686}	{'num': 741}	{'num': 696}	{'num': 724}						
140	{'num': 640}	{'num': 621}	{'num': 672}	{'num': 694}	{'num': 750}	{'num': 766}	{'num': 782}	{'num': 783}	{'num': 738}						
150	{'num': 601}	{'num': 709}	{'num': 760}	{'num': 641}	{'num': 726}	{'num': 732}	{'num': 759}	{'num': 708}	{'num': 764}	{'num': 4115}	{'num': 4275}	{'num': 4309}	{'num': 4501}	{'num': 4622}	{'num': 4843}
160	{'num': 702}	{'num': 755}	{'num': 725}	{'num': 725}	{'num': 778}	{'num': 759}	{'num': 786}	{'num': 768}	{'num': 808}						
170	{'num': 775}	{'num': 781}	{'num': 735}	{'num': 738}	{'num': 772}	{'num': 774}	{'num': 792}	{'num': 812}	{'num': 831}						
180	{'num': 757}	{'num': 797}	{'num': 763}	{'num': 767}	{'num': 823}	{'num': 785}	{'num': 822}	{'num': 791}	{'num': 821}						
190	{'num': 773}	{'num': 845}	{'num': 795}	{'num': 811}	{'num': 882}	{'num': 818}	{'num': 877}	{'num': 853}	{'num': 824}						
200	{'num': 806}	{'num': 771}	{'num': 805}	{'num': 803}	{'num': 852}	{'num': 929}	{'num': 879}	{'num': 823}	{'num': 858}	{'num': 4582}	{'num': 4762}	{'num': 4905}	{'num': 5202}	{'num': 5201}	{'num': 5310}
210	{'num': 825}	{'num': 850}	{'num': 881}	{'num': 865}	{'num': 827}	{'num': 932}	{'num': 931}	{'num': 873}	{'num': 891}						
220	{'num': 871}	{'num': 889}	{'num': 897}	{'num': 849}	{'num': 954}	{'num': 994}	{'num': 887}	{'num': 922}	{'num': 859}						
230	{'num': 945}	{'num': 884}	{'num': 882}	{'num': 947}	{'num': 925}	{'num': 1002}	{'num': 933}	{'num': 955}	{'num': 887}						
240	{'num': 959}	{'num': 891}	{'num': 861}	{'num': 975}	{'num': 958}	{'num': 1033}	{'num': 970}	{'num': 972}	{'num': 863}						
250	{'num': 958}	{'num': 906}	{'num': 977}	{'num': 920}	{'num': 1008}	{'num': 1029}	{'num': 1003}	{'num': 1011}	{'num': 983}	{'num': 5293}	{'num': 5581}	{'num': 5818}	{'num': 6218}	{'num': 6018}	{'num': 6244}
260	{'num': 1041}	{'num': 1056}	{'num': 1033}	{'num': 993}	{'num': 1025}	{'num': 1074}	{'num': 1049}	{'num': 1027}	{'num': 1025}						
270	{'num': 1063}	{'num': 1061}	{'num': 1002}	{'num': 1028}	{'num': 1151}	{'num': 1086}	{'num': 1094}	{'num': 1054}	{'num': 1067}						
280	{'num': 1105}	{'num': 1085}	{'num': 1099}	{'num': 1052}	{'num': 1114}	{'num': 1102}	{'num': 1160}	{'num': 1122}	{'num': 1084}						
290	{'num': 1195}	{'num': 1191}	{'num': 1129}	{'num': 1126}	{'num': 1182}	{'num': 1210}	{'num': 1092}	{'num': 1140}	{'num': 1128}						
300	{'num': 1259}	{'num': 1169}	{'num': 1190}	{'num': 1134}	{'num': 1252}	{'num': 1234}	{'num': 1246}	{'num': 1184}	{'num': 1105}	{'num': 6089}	{'num': 6788}	{'num': 6769}	{'num': 7035}	{'num': 6705}	{'num': 6992}
310	{'num': 1264}	{'num': 1249}	{'num': 1230}	{'num': 1201}	{'num': 1269}	{'num': 1338}	{'num': 1310}	{'num': 1228}	{'num': 1135}						
320	{'num': 1361}	{'num': 1339}	{'num': 1173}	{'num': 1192}	{'num': 1296}	{'num': 1297}	{'num': 1282}	{'num': 1297}	{'num': 1205}						
330	{'num': 1405}	{'num': 1348}	{'num': 1283}	{'num': 1291}	{'num': 1344}	{'num': 1389}	{'num': 1361}	{'num': 1250}	{'num': 1240}						
340	{'num': 1434}	{'num': 1396}	{'num': 1327}	{'num': 1321}	{'num': 1447}	{'num': 1352}	{'num': 1412}	{'num': 1306}	{'num': 1310}						
350	{'num': 1449}	{'num': 1482}	{'num': 1376}	{'num': 1415}	{'num': 1419}	{'num': 1427}	{'num': 1450}	{'num': 1406}	{'num': 1398}	{'num': 6510}	{'num': 6937}	{'num': 7247}	{'num': 7365}	{'num': 7209}	{'num': 7403}
360	{'num': 1441}	{'num': 1530}	{'num': 1464}	{'num': 1425}	{'num': 1385}	{'num': 1457}	{'num': 1328}	{'num': 1425}	{'num': 1241}						
370	{'num': 1632}	{'num': 1501}	{'num': 1436}	{'num': 1343}	{'num': 1527}	{'num': 1483}	{'num': 1371}	{'num': 1395}	{'num': 1312}						
380	{'num': 1599}	{'num': 1524}	{'num': 1484}	{'num': 1390}	{'num': 1478}	{'num': 1462}	{'num': 1447}	{'num': 1339}	{'num': 1327}						
390	{'num': 1602}	{'num': 1509}	{'num': 1418}	{'num': 1458}	{'num': 1443}	{'num': 1439}	{'num': 1493}	{'num': 1436}	{'num': 1287}						
400	{'num': 1612}	{'num': 1541}	{'num': 1405}	{'num': 1448}	{'num': 1434}	{'num': 1427}	{'num': 1394}	{'num': 1319}	{'num': 1266}	{'num': 5912}	{'num': 6379}	{'num': 6482}	{'num': 6553}	{'num': 6604}	{'num': 6489}
410	{'num': 1623}	{'num': 1504}	{'num': 1474}	{'num': 1378}	{'num': 1419}	{'num': 1426}	{'num': 1307}	{'num': 1272}	{'num': 1297}						
420	{'num': 1531}	{'num': 1444}	{'num': 1358}	{'num': 1356}	{'num': 1304}	{'num': 1356}	{'num': 1317}	{'num': 1222}	{'num': 1219}						
430	{'num': 1528}	{'num': 1453}	{'num': 1436}	{'num': 1340}	{'num': 1350}	{'num': 1296}	{'num': 1326}	{'num': 1258}	{'num': 1189}						
440	{'num': 1424}	{'num': 1410}	{'num': 1341}	{'num': 1305}	{'num': 1300}	{'num': 1227}	{'num': 1179}	{'num': 1125}	{'num': 1150}						
450	{'num': 1421}	{'num': 1306}	{'num': 1303}	{'num': 1250}	{'num': 1214}	{'num': 1159}	{'num': 1184}	{'num': 1088}	{'num': 1194}	{'num': 4737}	{'num': 4946}	{'num': 4968}	{'num': 4939}	{'num': 4565}	{'num': 4658}
460	{'num': 1365}	{'num': 1308}	{'num': 1228}	{'num': 1122}	{'num': 1188}	{'num': 1150}	{'num': 1110}	{'num': 1012}	{'num': 1034}						
470	{'num': 1301}	{'num': 1258}	{'num': 1159}	{'num': 1189}	{'num': 1066}	{'num': 1044}	{'num': 1004}	{'num': 997}	{'num': 945}						
480	{'num': 1237}	{'num': 1153}	{'num': 1095}	{'num': 1038}	{'num': 1044}	{'num': 957}	{'num': 946}	{'num': 959}	{'num': 917}						
490	{'num': 1055}	{'num': 1070}	{'num': 1004}	{'num': 969}	{'num': 916}	{'num': 931}	{'num': 906}	{'num': 796}	{'num': 828}						
500	{'num': 998}	{'num': 938}	{'num': 870}	{'num': 888}	{'num': 758}	{'num': 825}	{'num': 812}	{'num': 767}	{'num': 750}	{'num': 2841}	{'num': 2962}	{'num': 2878}	{'num': 2837}	{'num': 2549}	{'num': 2629}
510	{'num': 845}	{'num': 868}	{'num': 751}	{'num': 806}	{'num': 743}	{'num': 702}	{'num': 742}	{'num': 637}	{'num': 662}						
520	{'num': 823}	{'num': 730}	{'num': 684}	{'num': 698}	{'num': 665}	{'num': 646}	{'num': 605}	{'num': 564}	{'num': 602}						
530	{'num': 640}	{'num': 663}	{'num': 616}	{'num': 614}	{'num': 597}	{'num': 567}	{'num': 558}	{'num': 542}	{'num': 487}						
540	{'num': 563}	{'num': 489}	{'num': 479}	{'num': 527}	{'num': 516}	{'num': 457}	{'num': 460}	{'num': 425}	{'num': 414}						
550	{'num': 476}	{'num': 449}	{'num': 451}	{'num': 450}	{'num': 431}	{'num': 395}	{'num': 368}	{'num': 383}	{'num': 386}	{'num': 1290}	{'num': 1188}	{'num': 1313}	{'num': 1165}	{'num': 1063}	{'num': 1052}
560	{'num': 360}	{'num': 332}	{'num': 320}	{'num': 362}	{'num': 312}	{'num': 349}	{'num': 299}	{'num': 325}	{'num': 318}						
570	{'num': 313}	{'num': 245}	{'num': 271}	{'num': 283}	{'num': 278}	{'num': 276}	{'num': 237}	{'num': 242}	{'num': 270}						
580	{'num': 243}	{'num': 219}	{'num': 213}	{'num': 220}	{'num': 212}	{'num': 196}	{'num': 182}	{'num': 210}	{'num': 223}						
590	{'num': 170}	{'num': 155}	{'num': 158}	{'num': 178}	{'num': 171}	{'num': 151}	{'num': 154}	{'num': 159}	{'num': 155}						
600	{'num': 215}	{'num': 162}	{'num': 152}	{'num': 165}	{'num': 162}	{'num': 136}	{'num': 143}	{'num': 199}	{'num': 176}	{'num': 149}	{'num': 158}	{'num': 158}	{'num': 101}	{'num': 100}	{'num': 116}
